Date,StockCode,Description,Country,QuantitySold,Revenue,UnitPrice
2010-12-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2010-12-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,15,12.84,1.0150000000000001
2010-12-05,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2010-12-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,5.12,1.28
2010-12-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,13,10.28,1.0150000000000001
2010-12-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.28,1.28
2010-12-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,3.84,1.28
2010-12-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,5.12,1.28
2010-12-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2010-12-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2010-12-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,7,8.96,1.28
2010-12-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,6,7.680000000000001,1.28
2010-12-21,15036,ASSORTED COLOURS SILK FAN,Italy,12,9.0,0.75
2010-12-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-01-06,15036,ASSORTED COLOURS SILK FAN,United Kingdom,13,10.28,1.0150000000000001
2011-01-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,5,6.4,1.28
2011-01-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,19,24.32,1.28
2011-01-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-01-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,5.12,1.28
2011-01-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,121,91.25,0.9166666666666666
2011-01-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,3.75,1.25
2011-01-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,15,18.75,1.25
2011-01-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-01-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-01-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,3,3.75,1.25
2011-01-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2011-01-26,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-01-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2011-01-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.25,1.25
2011-01-31,15036,ASSORTED COLOURS SILK FAN,United Kingdom,649,361.25,0.906
2011-02-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,27.0,0.75
2011-02-02,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,5.0,1.25
2011-02-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,15.0,1.25
2011-02-04,15036,ASSORTED COLOURS SILK FAN,France,12,9.0,0.75
2011-02-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1200,780.0,0.65
2011-02-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-02-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,31,50.529999999999994,1.63
2011-02-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,27.0,0.75
2011-02-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,6.52,1.63
2011-02-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,60,45.0,0.75
2011-02-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,637,439.75,1.01
2011-02-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,18.0,0.75
2011-02-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,13,10.629999999999999,1.19
2011-02-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,18.0,0.75
2011-02-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,18.0,0.75
2011-02-23,15036,ASSORTED COLOURS SILK FAN,United Kingdom,20,22.04,1.19
2011-02-24,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,27.0,0.75
2011-02-25,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2011-02-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,38,30.259999999999998,1.0433333333333332
2011-03-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,16,15.52,1.19
2011-03-03,15036,ASSORTED COLOURS SILK FAN,United Kingdom,7,11.41,1.63
2011-03-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,30,48.9,1.63
2011-03-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,45,35.51,1.19
2011-03-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,6.52,1.63
2011-03-09,15036,ASSORTED COLOURS SILK FAN,United Kingdom,84,63.0,0.75
2011-03-10,15036,ASSORTED COLOURS SILK FAN,United Kingdom,224,168.0,0.75
2011-03-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.0,0.75
2011-03-14,15036,ASSORTED COLOURS SILK FAN,Sweden,12,9.0,0.75
2011-03-16,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2011-03-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,634,445.42,1.434
2011-03-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,612,399.0,0.7
2011-03-20,15036,ASSORTED COLOURS SILK FAN,United Kingdom,36,27.0,0.75
2011-03-21,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,18.0,0.75
2011-03-22,15036,ASSORTED COLOURS SILK FAN,United Kingdom,51,83.13,1.63
2011-03-27,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,18.0,0.75
2011-03-28,15036,ASSORTED COLOURS SILK FAN,Germany,24,18.0,0.75
2011-03-28,15036,ASSORTED COLOURS SILK FAN,United Kingdom,4,6.52,1.63
2011-03-30,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1212,831.96,0.7333333333333334
2011-03-31,15036,ASSORTED COLOURS SILK FAN,United Kingdom,1,1.63,1.63
2011-04-01,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-04-04,15036,ASSORTED COLOURS SILK FAN,United Kingdom,6,9.78,1.63
2011-04-07,15036,ASSORTED COLOURS SILK FAN,United Kingdom,48,36.0,0.75
2011-04-08,15036,ASSORTED COLOURS SILK FAN,Germany,36,27.0,0.75
2011-04-08,15036,ASSORTED COLOURS SILK FAN,United Kingdom,57,61.709999999999994,1.23
2011-04-11,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-04-12,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-04-13,15036,ASSORTED COLOURS SILK FAN,United Kingdom,684,501.72,0.8025
2011-04-14,15036,ASSORTED COLOURS SILK FAN,United Kingdom,24,19.919999999999998,0.83
2011-04-15,15036,ASSORTED COLOURS SILK FAN,United Kingdom,12,9.959999999999999,0.83
2011-04-17,15036,ASSORTED COLOURS SILK FAN,United Kingdom,120,99.6,0.83
2011-04-18,15036,ASSORTED COLOURS SILK FAN,United Kingdom,47,47.809999999999995,1.3633333333333333
2011-04-19,15036,ASSORTED COLOURS SILK FAN,United Kingdom,78,69.53999999999999,1.15
